asset_id_base,rates
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AERGO', 'rate': 223189.37327772615}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AFC', 'rate': 9374.885835377276}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AGIX', 'rate': 58345.95208882484}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AGLA', 'rate': 196671.58220994583}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AGLD', 'rate': 66561.01539431124}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AGLD5L', 'rate': 50738.145905825775}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AGLD5S', 'rate': 25744.511139658378}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AGRS', 'rate': 125543.35911540387}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AHT', 'rate': 3153234.8097408377}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AI', 'rate': 19887921.251659226}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AIN', 'rate': 1584211.730338254}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AION', 'rate': 18605136.836192887}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AIOZ', 'rate': 1018207.0482574581}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AIR', 'rate': 3643176.703422926}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AIX', 'rate': 18152466.78486393}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AKITA', 'rate': 130356819142.33606}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AKN', 'rate': 1899607.2539000856}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AKRO', 'rate': 6246669.995927362}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AKT', 'rate': 91741.92739240466}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AKTIO', 'rate': 87101.35829338706}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALCX', 'rate': 1304.2299328440358}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALEPH', 'rate': 459763.1856173791}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALG', 'rate': 129403.83793275023}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALGO', 'rate': 129233.81539109984}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALGO5L', 'rate': 2543246.0164398844}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALGO5S', 'rate': 258196.09120444642}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALI', 'rate': 706137.5061608637}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALICE', 'rate': 18062.463795907795}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALPACA', 'rate': 89931.82649855634}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALPH', 'rate': 97037.44067836516}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALPHA', 'rate': 256127.64053758798}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALPHA5L', 'rate': 174834.39440504703}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALPHA5S', 'rate': 31625.401751873484}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALPINE', 'rate': 12676.168426062042}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALT', 'rate': 354815.0198761843}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ALTA', 'rate': 2657913746.5297623}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AMB', 'rate': 2063268.677070704}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AMFT', 'rate': 68413.95498156027}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AMO', 'rate': 34571874.729059964}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AMP', 'rate': 7072979.516718915}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANC', 'rate': 1396954.469423469}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANKR', 'rate': 811832.8850511574}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANKR3S', 'rate': 2014269444.8559055}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANML', 'rate': 63948745.25748699}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANT', 'rate': 11527.544412194417}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANT5L', 'rate': 23841.651865663764}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANT5S', 'rate': 96504.34630344693}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANTE', 'rate': 46823.6338820673}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANV', 'rate': 570046.6532904772}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ANW', 'rate': 7374331.697794503}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AOA', 'rate': 131588834.95726481}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AOG', 'rate': 1702706.206702029}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APE', 'rate': 6760.870670424077}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APE2L', 'rate': 8712.81002528451}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APE2S', 'rate': 12171.582906652047}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APE3L', 'rate': 389808.60023559467}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APE3S', 'rate': 1406096.2157527579}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APEX', 'rate': 90418.8270578018}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'API3', 'rate': 17312.33009040226}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APIX', 'rate': 5636447.162683294}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APL', 'rate': 62532608.85322608}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APM', 'rate': 1812077.8793211766}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APPC', 'rate': 16990285.602688096}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'APT', 'rate': 2187.0004930233}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AQT', 'rate': 22409.082566012956}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AR', 'rate': 3298.7196073026817}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AR3L', 'rate': 45972.67933526454}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'AR3S', 'rate': 39769.31449863701}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARA', 'rate': 2046490.4349789696}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARB', 'rate': 19787.600487515454}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARDR', 'rate': 309694.0982760569}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARDX', 'rate': 3065743.626349649}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARG', 'rate': 24571.620412662087}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARIA20', 'rate': 98959.49791328481}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARK', 'rate': 86196.32840327059}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARKER', 'rate': 24066337.84805626}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARKN', 'rate': 84258422.6043452}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARNM', 'rate': 1574868.8273703502}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARPA', 'rate': 646219.852244815}"
BTC,"{'time': '2023-03-24T01:50:06.0000000Z', 'asset_id_quote': 'ARRR', 'rate': 85487.11448773851}"
